route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,bikes_allowed
vilnius_ferry_L1,508000,AL1-02-1-260901-ba-1240,"Žirmūnų paplūdimys",1,AL1-02-1-260901-2724430,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-03-1-260901-ba-1400,"Žirmūnų paplūdimys",1,AL1-03-1-260901-2724431,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-04-1-260901-ba-1440,"Žirmūnų paplūdimys",1,AL1-04-1-260901-2724432,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-01-1-260901-ba-1520,"Žirmūnų paplūdimys",1,AL1-01-1-260901-2724429,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-02-1-260901-ba-1600,"Žirmūnų paplūdimys",1,AL1-02-1-260901-2724430,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-03-1-260901-ba-1640,"Žirmūnų paplūdimys",1,AL1-03-1-260901-2724431,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-04-1-260901-ba-1720,"Žirmūnų paplūdimys",1,AL1-04-1-260901-2724432,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-01-1-260901-ba-1800,"Žirmūnų paplūdimys",1,AL1-01-1-260901-2724429,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,508000,AL1-02-1-260901-ba-1840,"Žirmūnų paplūdimys",1,AL1-02-1-260901-2724430,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2400,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2430,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
