route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,bikes_allowed
vilnius_ferry_L1,493159,AL1-01-1-260501-ab-0920,"Verslo trikampis",0,AL1-01-1-260501-2646036,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ab-1000,"Verslo trikampis",0,AL1-02-1-260501-2646037,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ab-1040,"Verslo trikampis",0,AL1-03-1-260501-2646038,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ab-1120,"Verslo trikampis",0,AL1-04-1-260501-2646039,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ab-1200,"Verslo trikampis",0,AL1-01-1-260501-2646036,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ab-1240,"Verslo trikampis",0,AL1-02-1-260501-2646037,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ab-1320,"Verslo trikampis",0,AL1-03-1-260501-2646038,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ab-1400,"Verslo trikampis",0,AL1-04-1-260501-2646039,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ab-1510,"Verslo trikampis",0,AL1-01-1-260501-2646036,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ab-1550,"Verslo trikampis",0,AL1-02-1-260501-2646037,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ab-1630,"Verslo trikampis",0,AL1-03-1-260501-2646038,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ab-1710,"Verslo trikampis",0,AL1-04-1-260501-2646039,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ab-1750,"Verslo trikampis",0,AL1-01-1-260501-2646036,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ab-1830,"Verslo trikampis",0,AL1-02-1-260501-2646037,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ab-1910,"Verslo trikampis",0,AL1-03-1-260501-2646038,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ab-1950,"Verslo trikampis",0,AL1-04-1-260501-2646039,vilnius_ferry_L1_a-b,,"Žirmūnų paplūdimys–Žaliasis tiltas–Verslo trikampis",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ba-0900,"Žirmūnų paplūdimys",1,AL1-03-1-260501-2646038,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ba-0940,"Žirmūnų paplūdimys",1,AL1-04-1-260501-2646039,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ba-1020,"Žirmūnų paplūdimys",1,AL1-01-1-260501-2646036,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ba-1100,"Žirmūnų paplūdimys",1,AL1-02-1-260501-2646037,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ba-1140,"Žirmūnų paplūdimys",1,AL1-03-1-260501-2646038,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ba-1220,"Žirmūnų paplūdimys",1,AL1-04-1-260501-2646039,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ba-1300,"Žirmūnų paplūdimys",1,AL1-01-1-260501-2646036,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ba-1340,"Žirmūnų paplūdimys",1,AL1-02-1-260501-2646037,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ba-1500,"Žirmūnų paplūdimys",1,AL1-03-1-260501-2646038,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ba-1540,"Žirmūnų paplūdimys",1,AL1-04-1-260501-2646039,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ba-1620,"Žirmūnų paplūdimys",1,AL1-01-1-260501-2646036,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ba-1700,"Žirmūnų paplūdimys",1,AL1-02-1-260501-2646037,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-03-1-260501-ba-1740,"Žirmūnų paplūdimys",1,AL1-03-1-260501-2646038,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-04-1-260501-ba-1820,"Žirmūnų paplūdimys",1,AL1-04-1-260501-2646039,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-01-1-260501-ba-1900,"Žirmūnų paplūdimys",1,AL1-01-1-260501-2646036,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_ferry_L1,493159,AL1-02-1-260501-ba-1940,"Žirmūnų paplūdimys",1,AL1-02-1-260501-2646037,vilnius_ferry_L1_b-a,,"Verslo trikampis–Žaliasis tiltas–Žirmūnų paplūdimys",1
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2400,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2430,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2500,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2530,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2600,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2630,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2700,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2730,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465824,AN9-03-5-250901-ab-2800,"Saulėtekis",0,AN9-03-5-250901-2487353,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2430,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ba-2500,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2530,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ba-2600,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2630,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ba-2700,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2730,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-bd-2800,"Autobusų parkas (Verkių g.)",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-d,1,"Saulėtekis–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N1,465824,AN9-03-5-250901-bd-2830,"Autobusų parkas (Verkių g.)",1,AN9-03-5-250901-2487353,vilnius_nightbus_N1_b-d,1,"Saulėtekis–Autobusų parkas (Verkių g.)",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-da-2400,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_d-a,1,"Autobusų parkas (Verkių g.)–Antakalnis–Centras",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-a1b1-2400,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-01-5-260605-2665687,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-a1b1-2430,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-02-5-260605-2665688,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-a1b1-2500,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-03-5-260605-2665689,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-a1b1-2530,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-01-5-260605-2665687,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-a1b1-2600,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-02-5-260605-2665688,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-a1b1-2630,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-03-5-260605-2665689,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-a1b1-2700,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-01-5-260605-2665687,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-a1b1-2730,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-02-5-260605-2665688,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-03-5-260605-a1b1-2800,"Pilaitė (Apylanka per st. MO muziejus)",0,AN2-03-5-260605-2665689,vilnius_nightbus_N2_a1-b1,1,"Centras–Lazdynai–Karoliniškės–Pilaitė (Apylanka per st. MO muziejus)",0
vilnius_nightbus_N2,496593,AN2-01-5-260605-ba-2450,"Centras",1,AN2-01-5-260605-2665687,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
vilnius_nightbus_N2,496593,AN2-02-5-260605-ba-2520,"Centras",1,AN2-02-5-260605-2665688,vilnius_nightbus_N2_b-a,1,"Pilaitė–Lazdynai–Karoliniškės–Centras",0
